RT60 data saved by REW V5.20.4
Source: C:\Users\maxia\OneDrive\Desktop\Tesis\blind-estimation-of-acoustics-parameters\Validación del cálculo de los descriptores\RIRs\Xx04y00_8dB.wav
Dated: 16/09/2022 17:25:31
Measurement: Xx04y00_8dB
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 24.000,0 Hz
Peak value: 1.0295238 at index 18250
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.3802083333333333 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

One-third octave filtered data
50	1/3	2.204	-0.939	2.712	-0.992	2.568	-0.991	2.593	-0.992	-5.000	-41.000	0.000	Forward	3.06	3.38	66.9	0.159
63	1/3	2.159	-0.970	2.377	-0.991	2.398	-0.996	2.403	-0.997	-5.000	-40.000	0.000	Forward	1.58	2.00	59.0	0.159
80	1/3	1.733	-0.982	2.190	-0.985	2.428	-0.988	2.554	-0.993	-5.000	-43.000	0.000	Forward	-0.27	0.38	48.5	0.144
100	1/3	1.607	-0.967	1.509	-0.994	2.206	-0.982	1.509	-0.994	-5.000	-25.000	0.000	Forward	-0.16	0.40	49.1	0.122
125	1/3	2.282	-0.954	2.066	-0.991	2.119	-0.994	1.833	-0.997	-5.000	-20.000	0.000	Forward	2.24	2.24	62.6	0.113
160	1/3	1.374	-0.859	1.810	-0.993	2.209	-0.988	1.829	-0.995	-5.000	-27.000	0.000	Forward	5.59	5.49	78.4	0.064
200	1/3	0.865	-0.832	1.758	-0.996	1.956	-0.991	2.095	-0.997	-10.000	-57.000	0.000	Forward	7.27	7.93	84.2	0.045
250	1/3	1.523	-0.836	1.971	-0.984	2.021	-0.995	2.326	-0.996	-5.000	-55.000	0.000	Forward	6.21	6.87	80.7	0.047
315	1/3	1.152	-0.857	1.764	-0.991	1.906	-0.992	1.757	-0.996	-5.000	-32.000	0.000	Forward	4.48	4.89	73.7	0.050
400	1/3	0.818	-0.702	1.894	-0.988	2.196	-0.993	2.473	-0.999	-12.000	-56.000	0.000	Forward	8.86	9.16	88.5	0.031
500	1/3	1.913	-0.731	1.857	-0.993	2.025	-0.997	2.262	-0.998	-5.000	-55.000	0.000	Forward	7.06	7.56	83.6	0.037
630	1/3	1.737	-0.593	1.687	-0.995	1.979	-0.995	2.339	-0.996	-5.000	-55.000	0.000	Forward	7.92	8.07	86.1	0.033
800	1/3	1.963	-0.587	1.931	-0.997	2.131	-0.997	1.932	-0.998	-5.000	-27.000	0.000	Forward	7.60	7.92	85.2	0.033
1000	1/3	2.325	-0.712	1.857	-0.996	2.112	-0.996	2.350	-0.998	-5.000	-54.000	0.000	Forward	6.77	6.86	82.6	0.037
1250	1/3	2.045	-0.799	1.671	-0.984	2.090	-0.987	2.327	-0.996	-5.000	-56.000	0.000	Forward	5.77	5.87	79.1	0.038
1600	1/3	1.927	-0.689	1.712	-0.996	2.013	-0.994	2.267	-0.997	-5.000	-56.000	0.000	Forward	6.69	7.00	82.3	0.033
2000	1/3	2.189	-0.627	1.742	-0.993	2.004	-0.995	2.231	-0.998	-5.000	-57.000	0.000	Forward	7.01	7.32	83.4	0.031
2500	1/3	2.410	-0.401	1.680	-0.995	1.896	-0.996	2.179	-0.998	-5.000	-60.000	0.000	Forward	8.76	9.25	88.3	0.021
3150	1/3	2.600	-0.373	1.588	-0.996	1.747	-0.997	1.679	-0.998	-5.000	-32.000	0.000	Forward	9.00	9.75	88.8	0.019
4000	1/3	0.042	-0.789	1.367	-0.994	1.547	-0.995	1.668	-0.997	-10.000	-47.000	0.000	Forward	9.91	10.77	90.7	0.016
5000	1/3	2.472	-0.344	1.108	-0.992	1.286	-0.995	1.591	-0.995	-5.000	-60.000	0.000	Forward	9.36	10.38	89.6	0.015
6300	1/3	0.008	-0.864	1.061	-0.989	1.127	-0.997	1.341	-0.997	-10.000	-60.000	0.000	Forward	11.42	12.41	93.3	0.010
8000	1/3	0.009	-0.984	0.978	-0.986	1.009	-0.996	1.108	-0.997	-10.000	-48.000	0.000	Forward	11.50	12.61	93.4	0.008
10000	1/3	0.006	-0.978	1.001	-0.987	1.045	-0.996	1.078	-0.997	-10.000	-39.000	0.000	Forward	13.68	8.96	95.9	0.009

