RT60 data saved by REW V5.20.4
Source: C:\Users\maxia\OneDrive\Desktop\Tesis\blind-estimation-of-acoustics-parameters\Validación del cálculo de los descriptores\RIRs\Yx12y09_2.0s.wav
Dated: 16/09/2022 17:25:32
Measurement: Yx12y09_2.0s
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 24.000,0 Hz
Peak value: 1.3298519 at index 19701
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.4104375 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

One-third octave filtered data
50	1/3	0.640	-0.922	1.064	-0.933	1.820	-0.967	2.112	-0.991	-15.000	-41.000	0.000	Forward	14.34	15.92	96.4	0.070
63	1/3	0.517	-0.917	2.664	-0.977	2.286	-0.989	2.879	-0.990	-11.000	-24.000	0.000	Forward	11.08	11.23	92.8	0.069
80	1/3	2.639	-0.987	2.234	-0.993	2.446	-0.995	2.385	-0.997	-5.000	-44.000	0.000	Forward	-4.76	-4.08	25.1	0.238
100	1/3	2.514	-0.978	2.636	-0.987	2.494	-0.995	2.483	-0.996	-5.000	-38.000	0.000	Forward	-6.89	-5.45	17.0	0.216
125	1/3	2.256	-0.978	2.410	-0.996	2.418	-0.998	2.418	-0.998	-5.000	-35.000	0.000	Forward	-5.61	-4.41	21.5	0.204
160	1/3	2.187	-0.988	2.343	-0.996	2.549	-0.997	2.535	-0.997	-5.000	-38.000	0.000	Forward	-6.59	-4.48	18.0	0.204
200	1/3	2.270	-0.997	1.987	-0.997	2.160	-0.997	2.170	-0.998	-5.000	-42.000	0.000	Forward	-5.78	-3.72	20.9	0.186
250	1/3	1.983	-0.992	2.250	-0.996	2.136	-0.997	2.113	-0.999	-5.000	-45.000	0.000	Forward	-6.53	-3.88	18.2	0.184
315	1/3	2.326	-0.997	2.171	-0.992	2.185	-0.995	2.174	-0.997	-5.000	-43.000	0.000	Forward	-8.20	-2.30	13.1	0.188
400	1/3	2.412	-0.997	2.118	-0.999	2.172	-0.999	2.176	-1.000	-5.000	-45.000	0.000	Forward	-5.55	-1.78	21.8	0.182
500	1/3	2.784	-0.994	2.316	-0.999	2.239	-0.999	2.214	-0.999	-5.000	-42.000	0.000	Forward	-2.39	-0.61	36.6	0.168
630	1/3	2.293	-0.996	2.297	-0.997	2.313	-0.999	2.285	-0.999	-5.000	-41.000	0.000	Forward	-2.30	-0.54	37.1	0.152
800	1/3	2.426	-0.997	2.432	-0.997	2.447	-0.999	2.457	-0.999	-5.000	-34.000	0.000	Forward	-4.41	-1.93	26.6	0.174
1000	1/3	2.791	-0.997	2.335	-0.999	2.347	-0.999	2.373	-0.999	-5.000	-32.000	0.000	Forward	-5.49	-2.14	22.0	0.193
1250	1/3	2.420	-0.993	2.349	-0.998	2.362	-0.999	2.331	-0.999	-5.000	-39.000	0.000	Forward	-2.04	-0.86	38.5	0.158
1600	1/3	2.393	-0.993	2.322	-0.999	2.316	-1.000	2.343	-1.000	-5.000	-49.000	0.000	Forward	-1.34	0.71	42.3	0.142
2000	1/3	2.275	-0.993	2.298	-0.999	2.285	-1.000	2.307	-1.000	-5.000	-49.000	0.000	Forward	-1.60	0.81	40.9	0.132
2500	1/3	2.334	-0.999	2.084	-0.999	2.065	-1.000	2.067	-1.000	-5.000	-42.000	0.000	Forward	-4.66	-1.28	25.5	0.162
3150	1/3	2.059	-0.994	1.982	-0.999	1.956	-1.000	2.006	-1.000	-5.000	-55.000	0.000	Forward	-1.99	1.03	38.7	0.132
4000	1/3	1.822	-0.988	1.909	-1.000	1.869	-1.000	1.861	-1.000	-5.000	-54.000	0.000	Forward	0.21	2.10	51.2	0.109
5000	1/3	1.628	-0.986	1.683	-0.999	1.684	-1.000	1.676	-1.000	-5.000	-51.000	0.000	Forward	2.06	3.70	61.6	0.082
6300	1/3	1.212	-0.981	1.400	-0.999	1.386	-0.999	1.356	-1.000	-5.000	-53.000	0.000	Forward	2.27	4.76	62.8	0.069
8000	1/3	1.011	-0.981	1.226	-0.999	1.243	-1.000	1.222	-1.000	-5.000	-52.000	0.000	Forward	2.57	5.23	64.4	0.064
10000	1/3	1.083	-0.983	1.302	-0.999	1.310	-1.000	1.305	-1.000	-5.000	-52.000	0.000	Forward	2.34	5.66	63.2	0.066

