RT60 data saved by REW V5.20.4
Source: C:\Users\maxia\OneDrive\Desktop\Tesis\blind-estimation-of-acoustics-parameters\Validación del cálculo de los descriptores\RIRs\Zx00y01_0.9s.wav
Dated: 16/09/2022 17:25:32
Measurement: Zx00y01_0.9s
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 24.000,0 Hz
Peak value: 1.2586054 at index 18704
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.38966666666666666 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

One-third octave filtered data
50	1/3	0.555	-0.915	0.485	-0.960	0.645	-0.977	0.749	-0.992	-5.000	-60.000	0.000	Forward	19.01	7.22	98.8	0.061
63	1/3	0.481	-0.922	0.868	-0.858	1.113	-0.918	0.931	-0.985	-15.000	-60.000	0.000	Forward	13.93	7.19	96.1	0.055
80	1/3	1.102	-0.954	1.043	-0.942	0.887	-0.984	0.940	-0.997	-5.000	-60.000	0.000	Forward	1.32	0.55	57.5	0.099
100	1/3	0.718	-0.975	0.969	-0.983	1.056	-0.981	0.888	-0.994	-5.000	-60.000	0.000	Forward	4.86	7.12	75.4	0.080
125	1/3	0.755	-0.944	1.237	-0.987	0.985	-0.983	0.882	-0.995	-5.000	-60.000	0.000	Forward	5.98	7.11	79.9	0.062
160	1/3	0.836	-0.946	0.935	-0.969	0.913	-0.986	0.889	-0.996	-5.000	-60.000	0.000	Forward	-7.21	5.40	16.0	0.100
200	1/3	0.912	-0.982	0.923	-0.994	0.887	-0.998	0.860	-0.999	-5.000	-60.000	0.000	Forward	-0.82	5.64	45.3	0.076
250	1/3	1.090	-0.980	0.868	-0.989	0.773	-0.994	0.788	-0.997	-5.000	-48.000	0.000	Forward	-1.62	2.97	40.8	0.085
315	1/3	1.011	-0.982	0.999	-0.990	0.893	-0.994	0.892	-0.998	-5.000	-60.000	0.000	Forward	1.58	6.17	59.0	0.065
400	1/3	0.960	-0.961	1.089	-0.996	0.982	-0.996	0.962	-0.998	-5.000	-58.000	0.000	Forward	-4.46	5.26	26.4	0.083
500	1/3	1.152	-0.980	1.036	-0.996	1.027	-0.998	1.004	-0.999	-5.000	-60.000	0.000	Forward	-0.66	4.28	46.2	0.071
630	1/3	1.411	-0.971	0.886	-0.993	0.961	-0.996	1.004	-0.999	-5.000	-60.000	0.000	Forward	-3.52	1.71	30.8	0.092
800	1/3	1.252	-0.985	0.958	-0.997	1.019	-0.998	1.020	-0.999	-5.000	-53.000	0.000	Forward	-4.01	3.14	28.4	0.088
1000	1/3	1.356	-0.991	1.039	-0.998	1.068	-0.998	1.074	-0.999	-5.000	-60.000	0.000	Forward	-2.03	2.45	38.5	0.086
1250	1/3	1.527	-0.978	0.945	-0.996	1.013	-0.997	1.072	-0.999	-5.000	-60.000	0.000	Forward	-2.82	0.68	34.3	0.099
1600	1/3	1.308	-0.991	0.941	-0.998	0.991	-0.999	1.023	-0.999	-5.000	-60.000	0.000	Forward	-3.77	1.79	29.5	0.090
2000	1/3	1.129	-0.989	0.935	-0.998	0.951	-0.999	0.962	-0.999	-5.000	-42.000	0.000	Forward	-1.71	3.24	40.3	0.072
2500	1/3	1.215	-0.991	0.918	-0.998	0.904	-0.999	0.927	-1.000	-5.000	-60.000	0.000	Forward	-0.10	3.26	49.4	0.068
3150	1/3	1.144	-0.988	0.829	-0.997	0.827	-0.999	0.852	-1.000	-5.000	-58.000	0.000	Forward	1.13	3.73	56.5	0.058
4000	1/3	1.054	-0.982	0.823	-0.999	0.803	-1.000	0.817	-1.000	-5.000	-58.000	0.000	Forward	1.88	4.87	60.7	0.050
5000	1/3	1.104	-0.899	0.789	-0.994	0.774	-0.998	0.782	-1.000	-5.000	-60.000	0.000	Forward	4.24	6.38	72.6	0.032
6300	1/3	1.223	-0.827	0.736	-0.993	0.698	-0.997	0.689	-0.999	-5.000	-60.000	0.000	Forward	6.61	8.49	82.1	0.022
8000	1/3	1.290	-0.846	0.661	-0.991	0.632	-0.996	0.629	-0.999	-5.000	-60.000	0.000	Forward	6.50	8.32	81.7	0.021
10000	1/3	1.325	-0.862	0.682	-0.992	0.648	-0.997	0.651	-0.999	-5.000	-60.000	0.000	Forward	6.17	9.72	80.5	0.021

